#@length_unit mm
# This polycone building mode use an interpolation scheme
# to generate inner and outer surfaces from the following list
# of points [z ; r(outer envelope)]:
#@skin_thickness 1.5
#@skin_step      5
-110.0   0.0
-109.843987438   32.0048479506
-109.264512207   34.3862935214
-108.194711782   36.6119435875
-106.27798602   38.681798149
-104.205247695   40.0171881886
-102.177084389   41.0632437197
-99.5025833249   41.5083737329
-96.1594569952   41.5083737329
-91.4790801337   41.7309387395
-45.1210616959   41.7309387395
-41.3321851889   42.1760687528
-38.4348090366   42.8437637726
-34.8688076183   44.4017188189
-32.4171816432   46.4048038784
-30.634180934   48.4078889379
-28.6283051363   51.746364037
-26.6224293385   55.752534156
-24.1708033634   60.8715293081
-21.942052477   65.3228294403
-19.0446763246   69.9966945791
-16.2364502077   74.1586602027
-13.4282240908   77.8532393125
-10.3525478675   81.5700749229
-6.78654644919   85.3536800353
-3.66629520819   88.0244601146
0.345456387397   91.1403702071
3.68858271705   93.3660202732
7.0317090467   95.1465403261
10.7982980448   96.860290877
14.8100496404   98.1956809167
19.5127140107   99.3752754517
24.0147908013   100.421330983
28.6283051363   100.866460996
33.0858069091   101.0
37.3872961199   101.0
42.1568230169   100.710665491
46.9263499139   100.042970472
50.9381015095   99.1527104451
55.1727281937   97.5947553989
59.8531050552   95.814235346
63.2408064026   94.0337152931
66.5393577145   92.0306302336
70.3282342215   89.3598501543
73.2256103738   87.3567650948
76.3458616148   84.6859850154
78.7974875899   82.4603349493
81.249113565   79.5669898634
84.1464897174   76.2285147642
86.8209907811   72.8900396651
89.4954918448   69.5515645659
91.9471178199   65.9905244601
94.1758687063   62.2069193477
97.0732448587   56.6427941825
99.5248708338   51.3012340238
101.75362172   45.7371088585
103.982372607   39.5052886734
105.542498227   33.2734684883
107.325498936   26.9971353019
108.662749468   20.3646981049
109.331374734   13.4651829
109.955424982   7.23336271485
110.0   0.0
