0 [1203:0.0.0.0]
1 [1203:0.0.1.0]
2 [1203:0.0.2.0]
3 [1203:0.0.3.0]
4 [1203:0.0.4.0]
5 [1203:0.0.5.0]
6 [1203:0.0.6.0]
7 [1203:0.0.7.0]
8 [1203:0.0.8.0]
9 [1203:0.0.0.1]
10 [1203:0.0.1.1]
11 [1203:0.0.2.1]
12 [1203:0.0.3.1]
13 [1203:0.0.4.1]
14 [1203:0.0.5.1]
15 [1203:0.0.6.1]
16 [1203:0.0.7.1]
17 [1203:0.0.8.1]
18 [1203:0.0.0.2]
19 [1203:0.0.1.2]
20 [1203:0.0.2.2]
21 [1203:0.0.3.2]
22 [1203:0.0.4.2]
23 [1203:0.0.5.2]
24 [1203:0.0.6.2]
25 [1203:0.0.7.2]
26 [1203:0.0.8.2]
27 [1203:0.0.0.3]
28 [1203:0.0.1.3]
29 [1203:0.0.2.3]
30 [1203:0.0.3.3]
31 [1203:0.0.4.3]
32 [1203:0.0.5.3]
33 [1203:0.0.6.3]
34 [1203:0.0.7.3]
35 [1203:0.0.8.3]
36 [1203:0.0.0.4]
37 [1203:0.0.1.4]
38 [1203:0.0.2.4]
39 [1203:0.0.3.4]
40 [1203:0.0.4.4]
41 [1203:0.0.5.4]
42 [1203:0.0.6.4]
43 [1203:0.0.7.4]
44 [1203:0.0.8.4]
45 [1203:0.0.0.5]
46 [1203:0.0.1.5]
47 [1203:0.0.2.5]
48 [1203:0.0.3.5]
49 [1203:0.0.4.5]
50 [1203:0.0.5.5]
51 [1203:0.0.6.5]
52 [1203:0.0.7.5]
53 [1203:0.0.8.5]
54 [1203:0.0.0.6]
55 [1203:0.0.1.6]
56 [1203:0.0.2.6]
57 [1203:0.0.3.6]
58 [1203:0.0.4.6]
59 [1203:0.0.5.6]
60 [1203:0.0.6.6]
61 [1203:0.0.7.6]
62 [1203:0.0.8.6]
63 [1203:0.0.0.7]
64 [1203:0.0.1.7]
65 [1203:0.0.2.7]
66 [1203:0.0.3.7]
67 [1203:0.0.4.7]
68 [1203:0.0.5.7]
69 [1203:0.0.6.7]
70 [1203:0.0.7.7]
71 [1203:0.0.8.7]
72 [1203:0.0.0.8]
73 [1203:0.0.1.8]
74 [1203:0.0.2.8]
75 [1203:0.0.3.8]
76 [1203:0.0.4.8]
77 [1203:0.0.5.8]
78 [1203:0.0.6.8]
79 [1203:0.0.7.8]
80 [1203:0.0.8.8]
81 [1203:0.0.0.9]
82 [1203:0.0.1.9]
83 [1203:0.0.2.9]
84 [1203:0.0.3.9]
85 [1203:0.0.4.9]
86 [1203:0.0.5.9]
87 [1203:0.0.6.9]
88 [1203:0.0.7.9]
89 [1203:0.0.8.9]
90 [1203:0.0.0.10]
91 [1203:0.0.1.10]
92 [1203:0.0.2.10]
93 [1203:0.0.3.10]
94 [1203:0.0.4.10]
95 [1203:0.0.5.10]
96 [1203:0.0.6.10]
97 [1203:0.0.7.10]
98 [1203:0.0.8.10]
99 [1203:0.0.0.11]
